query-id	document-id	relevance
q_000001	--1DO2V4K74	3
q_000002	--1DO2V4K74	3
q_000003	-01K1HxqPB8	3
q_000004	-01K1HxqPB8	3
q_000005	-02DygXbn6w	3
q_000006	-02DygXbn6w	3
q_000007	-0r0HEwAYiQ	3
q_000008	-5Q7iNtaWCU	3
q_000009	-5Q7iNtaWCU	3
q_000010	-5c9WHk408g	3
q_000011	-5c9WHk408g	3
q_000012	-8awLlFLcQc	3
q_000013	-8awLlFLcQc	3
q_000014	-A6e83tl4Y8	3
q_000015	-A6e83tl4Y8	3
q_000016	-CEi03j4-Bw	3
q_000017	-CEi03j4-Bw	3
q_000018	-DpnaHTk8PA	3
q_000019	-DpnaHTk8PA	3
q_000020	-E9YQ_Uhu50	3
q_000021	-E9YQ_Uhu50	3
q_000022	-FWGLSfI13Q	3
q_000023	-FWGLSfI13Q	3
q_000024	-GRvxWH4axc	3
q_000025	-GRvxWH4axc	3
q_000026	-Jp86pFKlsw	3
q_000027	-Jp86pFKlsw	3
q_000028	-MFzpFMdWZs	3
q_000029	-MFzpFMdWZs	3
q_000030	-OH1BDqao9w	3
q_000031	-OH1BDqao9w	3
q_000032	-OLPVREPy6Y	3
q_000033	-OLPVREPy6Y	3
q_000034	-SCRtjT7dto	3
q_000035	-SCRtjT7dto	3
q_000036	-UwqKYkkKlU	3
q_000037	-UwqKYkkKlU	3
q_000038	-ZBsdK10Trs	3
q_000039	-ZBsdK10Trs	3
q_000040	-_gDSRlC1kg	3
q_000041	-_gDSRlC1kg	3
q_000042	-bqaXU4s8Qs	3
q_000043	-bqaXU4s8Qs	3
q_000044	-doxoUNGLJE	3
q_000045	-doxoUNGLJE	3
q_000046	-erT3ckPkAg	3
q_000047	-erT3ckPkAg	3
q_000048	-lEsnrNNZFU	3
q_000049	-lEsnrNNZFU	3
q_000050	-mX18jJkPDk	3
q_000051	-mX18jJkPDk	3
q_000052	-nlAKyoyIuU	3
q_000053	-nlAKyoyIuU	3
q_000054	-oJb3Acw-_s	3
q_000055	-oJb3Acw-_s	3
q_000056	-r_bvqjYjYg	3
q_000057	-r_bvqjYjYg	3
q_000058	-voGnJbk3CI	3
q_000059	-voGnJbk3CI	3
q_000060	-zZJmRT9udU	3
q_000061	-zZJmRT9udU	3
q_000062	00KMCm2oGhk	3
q_000063	00KMCm2oGhk	3
q_000064	00SfeRtiM2o	3
q_000065	00SfeRtiM2o	3
q_000066	00ZRoqhhb8g	3
q_000067	00ZRoqhhb8g	3
q_000068	03JdaRepHkA	3
q_000069	03JdaRepHkA	3
